time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
2.781033962536253e-003	-1.068849e-004	1.486179e-001
2.783963650036253e-003	-1.069351e-004	1.480113e-001
2.786893337536253e-003	-1.069555e-004	1.473414e-001
2.791319968901584e-003	-1.070390e-004	1.462503e-001
2.793393358417339e-003	-1.070328e-004	1.457098e-001
2.795289486535206e-003	-1.070811e-004	1.451914e-001
2.797922312577849e-003	-1.071004e-004	1.444123e-001
2.800323452505508e-003	-1.071498e-004	1.436936e-001
2.802384840447839e-003	-1.071702e-004	1.430264e-001
2.804174200698425e-003	-1.071748e-004	1.424563e-001
2.806002678019880e-003	-1.072329e-004	1.418382e-001
2.807848714623805e-003	-1.072429e-004	1.411809e-001
2.810778402123806e-003	-1.072889e-004	1.401379e-001
2.813099157037748e-003	-1.073051e-004	1.392618e-001
2.815194444270030e-003	-1.073324e-004	1.384680e-001
2.817045361346583e-003	-1.073735e-004	1.377228e-001
2.818935910124367e-003	-1.073714e-004	1.369529e-001
2.820978238992050e-003	-1.074086e-004	1.361101e-001
2.829342131630518e-003	-1.075228e-004	1.323735e-001
2.832123581175654e-003	-1.075510e-004	1.310626e-001
2.834786045985575e-003	-1.075947e-004	1.297607e-001
2.837715733485575e-003	-1.076208e-004	1.282910e-001
2.840645420985576e-003	-1.076682e-004	1.267792e-001
2.843575108485576e-003	-1.076976e-004	1.252220e-001
2.846504795985576e-003	-1.077421e-004	1.236300e-001
2.852364170985576e-003	-1.078157e-004	1.203148e-001
2.855293858485576e-003	-1.078569e-004	1.185909e-001
2.858223545985576e-003	-1.078903e-004	1.168384e-001
2.861153233485576e-003	-1.079362e-004	1.150388e-001
2.864082920985576e-003	-1.079669e-004	1.132057e-001
2.867012608485577e-003	-1.080144e-004	1.113343e-001
2.869942295985577e-003	-1.080466e-004	1.094225e-001
2.872871983485577e-003	-1.080922e-004	1.074812e-001
2.878731358485577e-003	-1.081705e-004	1.034843e-001
2.881661045985577e-003	-1.082137e-004	1.014283e-001
2.884590733485577e-003	-1.082503e-004	9.934886e-002
2.887520420985577e-003	-1.082985e-004	9.722856e-002
2.890450108485577e-003	-1.083327e-004	9.508073e-002
2.893379795985578e-003	-1.083832e-004	9.290055e-002
2.896309483485578e-003	-1.084188e-004	9.068666e-002
2.899239170985578e-003	-1.084683e-004	8.844935e-002
2.905098545985578e-003	-1.085549e-004	8.388022e-002
2.908028233485578e-003	-1.086023e-004	8.154795e-002
2.910957920985578e-003	-1.086439e-004	7.919889e-002
2.913887608485578e-003	-1.086974e-004	7.681581e-002
2.916817295985578e-003	-1.087369e-004	7.441210e-002
2.919746983485579e-003	-1.087940e-004	7.198310e-002
2.922676670985579e-003	-1.088357e-004	6.952746e-002
2.925606358485579e-003	-1.088929e-004	6.705571e-002
2.931465733485579e-003	-1.089956e-004	6.203938e-002
2.934395420985579e-003	-1.090530e-004	5.949456e-002
2.937325108485579e-003	-1.091042e-004	5.694028e-002
2.940254795985579e-003	-1.091706e-004	5.435987e-002
2.943184483485579e-003	-1.092218e-004	5.176578e-002
2.946114170985580e-003	-1.092952e-004	4.915513e-002
2.949043858485580e-003	-1.093528e-004	4.652438e-002
2.954903233485580e-003	-1.095023e-004	4.122439e-002
2.957832920985580e-003	-1.095834e-004	3.856065e-002
2.960762608485580e-003	-1.096778e-004	3.587313e-002
2.963692295985580e-003	-1.097689e-004	3.318339e-002
2.966621983485580e-003	-1.098960e-004	3.047766e-002
2.969551670985580e-003	-1.100186e-004	2.776361e-002
2.972481358485581e-003	-1.102005e-004	2.504564e-002
2.975411045985581e-003	-1.104069e-004	2.231198e-002
2.978340733485581e-003	-1.107096e-004	1.958502e-002
2.981270420985581e-003	-1.111434e-004	1.684039e-002
2.984200108485581e-003	-1.118164e-004	1.410725e-002
2.987129795985581e-003	-1.130410e-004	1.137160e-002
2.990059483485581e-003	-1.154074e-004	8.657792e-003
2.992989170985581e-003	-1.212720e-004	6.020195e-003
2.995918858485581e-003	-1.384883e-004	3.570045e-003
2.998848545985582e-003	-1.787400e-004	1.516562e-003
3.000000000000000e-003	-2.076637e-004	8.930248e-004
Step Information: Temp=50  (Run: 5/9)
0.000000000000000e+000	-3.485247e-004	3.484971e-004
2.929687742403431e-011	-3.485270e-004	3.484964e-004
1.171875096961372e-010	-3.485252e-004	3.484969e-004
4.687500387845489e-010	-3.485251e-004	3.484970e-004
9.375000775690978e-010	-3.485241e-004	3.484973e-004
7.500000620552783e-009	-3.485247e-004	3.484971e-004
3.000000248221113e-008	-3.485264e-004	3.484968e-004
6.000000496442226e-008	-3.485442e-004	3.484908e-004
1.200000099288445e-007	-3.486719e-004	3.484147e-004
2.400000198576890e-007	-3.493655e-004	3.477909e-004
4.800000397153781e-007	-3.525873e-004	3.441376e-004
9.600000794307562e-007	-3.667822e-004	3.279707e-004
1.920000158861512e-006	-4.350558e-004	2.768760e-004
3.840000317723025e-006	-7.680287e-004	1.678171e-004
5.872299222998517e-006	-1.663694e-003	8.691300e-005
8.105431237517751e-006	-3.711205e-003	4.491060e-005
1.032372432828878e-005	-6.689324e-003	3.017781e-005
1.325341182828878e-005	-1.072907e-002	2.436710e-005
1.618309932828878e-005	-1.408894e-002	2.237353e-005
1.911278682828878e-005	-1.701242e-002	2.148164e-005
2.204247432828877e-005	-1.983925e-002	2.091456e-005
2.497216182828877e-005	-2.262907e-002	2.051512e-005
2.790184932828877e-005	-2.539441e-002	2.021987e-005
3.083153682828878e-005	-2.814030e-002	1.999446e-005
3.376122432828878e-005	-3.086744e-002	1.981844e-005
3.669091182828878e-005	-3.357730e-002	1.967805e-005
3.962059932828878e-005	-3.627018e-002	1.956415e-005
4.255028682828879e-005	-3.894618e-002	1.947029e-005
4.547997432828879e-005	-4.160506e-002	1.939189e-005
4.840966182828879e-005	-4.424646e-002	1.932553e-005
