temperature	V(n005)	V(n006)
1.157999999999922e+002	3.389872e-001	2.479215e-001
1.156999999999922e+002	3.389002e-001	2.481864e-001
1.155999999999922e+002	3.388132e-001	2.484513e-001
1.154999999999922e+002	3.387261e-001	2.487161e-001
1.153999999999921e+002	3.386391e-001	2.489810e-001
1.152999999999921e+002	3.385521e-001	2.492459e-001
1.151999999999921e+002	3.384651e-001	2.495108e-001
1.150999999999921e+002	3.383780e-001	2.497756e-001
1.149999999999920e+002	3.382910e-001	2.500405e-001
1.148999999999920e+002	3.382040e-001	2.503053e-001
1.147999999999920e+002	3.381169e-001	2.505701e-001
1.146999999999920e+002	3.380299e-001	2.508350e-001
1.145999999999920e+002	3.379428e-001	2.510998e-001
1.144999999999919e+002	3.378558e-001	2.513646e-001
1.143999999999919e+002	3.377687e-001	2.516294e-001
1.142999999999919e+002	3.376817e-001	2.518942e-001
1.141999999999919e+002	3.375946e-001	2.521590e-001
1.140999999999918e+002	3.375075e-001	2.524237e-001
1.139999999999918e+002	3.374205e-001	2.526885e-001
1.138999999999918e+002	3.373334e-001	2.529533e-001
1.137999999999918e+002	3.372463e-001	2.532180e-001
1.136999999999918e+002	3.371593e-001	2.534828e-001
1.135999999999917e+002	3.370722e-001	2.537475e-001
1.134999999999917e+002	3.369851e-001	2.540122e-001
1.133999999999917e+002	3.368980e-001	2.542769e-001
1.132999999999917e+002	3.368109e-001	2.545417e-001
1.131999999999916e+002	3.367239e-001	2.548063e-001
1.130999999999916e+002	3.366368e-001	2.550710e-001
1.129999999999916e+002	3.365497e-001	2.553357e-001
1.128999999999916e+002	3.364626e-001	2.556004e-001
1.127999999999915e+002	3.363755e-001	2.558651e-001
1.126999999999915e+002	3.362884e-001	2.561297e-001
1.125999999999915e+002	3.362013e-001	2.563944e-001
1.124999999999915e+002	3.361142e-001	2.566590e-001
1.123999999999915e+002	3.360271e-001	2.569237e-001
1.122999999999914e+002	3.359399e-001	2.571883e-001
1.121999999999914e+002	3.358528e-001	2.574529e-001
1.120999999999914e+002	3.357657e-001	2.577175e-001
1.119999999999914e+002	3.356786e-001	2.579821e-001
1.118999999999913e+002	3.355915e-001	2.582467e-001
1.117999999999913e+002	3.355044e-001	2.585113e-001
1.116999999999913e+002	3.354172e-001	2.587759e-001
1.115999999999913e+002	3.353301e-001	2.590404e-001
1.114999999999913e+002	3.352430e-001	2.593050e-001
1.113999999999912e+002	3.351558e-001	2.595696e-001
1.112999999999912e+002	3.350687e-001	2.598341e-001
